run_id,pair_index,src_id,tgt_id,starting_node,overlap_mean,gain_mean,overlap_n,gain_n
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,8,0.14881354153093282,11.3,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,10,0.1512952337517555,8.9,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,27,0.1606408134162543,5.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,39,0.15856774073674496,8.2,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,51,0.14373180445373296,7.5,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,52,0.13955566496083738,8.3,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,53,0.10987871709610839,9.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,60,0.18812702846203316,7.0,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,65,0.16384390119684236,7.9,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1493,g249,g001,95,0.10793924915664044,6.6,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,3,0.11857345628701128,8.8,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,8,0.1040566292763089,8.3,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,11,0.18433382479034655,8.9,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,19,0.11264360708464896,9.0,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,27,0.16625572082379864,8.0,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,62,0.13554871175523348,8.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,78,0.11948501455918334,7.8,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,83,0.1354755867664738,6.2,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,84,0.11329134150873284,8.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,1627,g316,g001,99,0.13062686106164367,9.5,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,21,0.18080945140694096,7.7,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,33,0.11089600013513057,10.0,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,39,0.12337176108915238,8.2,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,51,0.11895513936893247,7.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,56,0.11955241035825744,6.7,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,77,0.267282980177717,7.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,78,0.133852876592007,7.1,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,80,0.1810634931430126,9.7,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,94,0.19299500499500502,6.3,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2365,g188,g002,95,0.17557379929900657,10.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,20,0.2352717032087161,8.2,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,31,0.1449278475666975,7.8,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,32,0.1464688059925664,11.2,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,40,0.1532272102209173,9.6,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,47,0.10363618494396527,8.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,59,0.19694155844155845,9.4,10,10
1708e4d3-d54c-4165-be2c-2045f96c564e,2371,g191,g002,74,0.25645274574067145,5.1,10,10
